Year,Team,OFF,QB_cap,RB_cap,WR_cap,TE_cap,OL_cap,DEF,ED_cap,DL_cap,LB_cap,CB_cap,S_cap,SPT,K_cap,P_cap,LS_cap,Total_cap,QB_avg,RB_avg,WR_avg,TE_avg,OL_avg,ED_avg,DL_avg,LB_avg,CB_avg,S_avg,K_avg,P_avg,LS_avg,Total_avg,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Conference,T
2011,JAX,41.37,4.45,8.24,5.8,4.94,12.63,38.22,0.0,0.0,9.27,9.39,4.73,3.28,2.4,0.0,0.88,83.64,5.85,8.58,8.75,8.14,17.43,0.0,0.0,13.51,12.48,8.19,2.0,0.0,1.0,110.43,5,11,0.313,243,329,-86,-5.4,-0.3,-5.6,-7.1,1.4,AFC,0
2011,KC,45.46,16.38,9.48,8.71,1.57,8.5,49.21,0.0,0.0,13.31,9.06,9.2,3.61,0.93,1.98,0.69,102.91,16.88,8.95,10.01,2.29,9.94,0.0,0.0,24.51,13.46,10.6,2.75,1.7,0.73,128.97,7,9,0.438,212,338,-126,-7.9,-0.2,-8.1,-10.2,2.1,AFC,0
2011,MIA,48.81,4.59,6.06,15.25,3.93,21.48,54.04,0.0,0.0,18.13,2.98,9.9,3.49,1.34,1.29,0.85,113.69,4.57,6.8,14.2,4.25,23.93,0.0,0.0,24.23,3.53,14.07,2.0,1.03,0.76,128.06,6,10,0.375,329,313,16,1.0,-0.1,0.9,-2.2,3.2,AFC,0
2011,MIN,49.26,8.03,14.17,4.27,9.02,13.76,52.48,0.0,0.0,15.32,11.72,3.3,3.89,2.38,1.51,0.0,111.6,11.0,16.2,13.71,9.14,20.19,0.0,0.0,15.73,11.69,3.59,3.0,1.38,0.0,134.35,3,13,0.188,340,449,-109,-6.8,1.1,-5.7,-1.6,-4.1,NFC,0
2011,NE,53.12,14.02,3.81,11.22,2.42,26.03,39.06,0.0,0.0,15.6,4.41,5.54,3.47,2.6,0.5,0.38,105.06,19.14,4.37,12.98,1.7,31.44,0.0,0.0,16.85,4.35,4.68,3.15,0.49,0.47,129.86,13,3,0.813,513,342,171,10.7,-1.4,9.3,9.4,-0.1,AFC,0
2011,NO,44.54,13.05,7.87,12.51,0.57,13.07,44.59,1.41,0.0,21.06,8.32,6.96,2.56,1.63,0.52,0.41,98.26,10.4,9.62,13.48,0.61,18.79,1.93,0.0,22.74,9.11,10.93,3.47,0.48,0.41,114.03,13,3,0.813,547,339,208,13.0,-1.6,11.4,10.6,0.8,NFC,0
2011,NYG,56.31,18.09,11.92,6.81,1.52,26.05,47.35,0.0,0.0,13.02,12.46,5.5,3.27,1.5,0.85,0.92,121.75,20.11,12.99,6.56,1.46,29.59,0.0,0.0,14.23,14.0,10.24,1.4,0.85,1.1,138.65,9,7,0.563,394,400,-6,-0.4,2.0,1.6,3.1,-1.5,NFC,0
2011,NYJ,57.45,19.27,3.04,7.83,3.13,26.22,42.0,0.0,0.0,22.5,16.8,4.8,1.38,0.55,0.38,0.45,114.34,12.13,4.45,13.94,3.62,29.51,0.0,0.0,31.56,23.3,5.92,0.55,0.45,0.41,134.31,8,8,0.5,377,363,14,0.9,0.0,0.9,1.2,-0.3,AFC,0
2011,OAK,51.23,8.35,14.87,14.8,5.04,9.43,42.75,0.0,0.0,11.42,6.0,4.65,8.98,3.73,4.3,0.96,105.63,16.6,11.14,11.59,5.52,9.4,0.0,0.0,24.03,12.51,10.18,4.0,4.0,1.18,139.12,8,8,0.5,359,433,-74,-4.6,-0.3,-4.9,0.2,-5.1,AFC,0
2011,PHI,54.05,18.92,1.81,10.62,3.54,18.56,62.32,4.64,0.0,9.26,19.72,4.01,1.78,0.48,0.38,0.92,118.27,20.56,2.68,11.23,5.44,27.0,3.38,0.0,10.17,26.53,3.94,0.62,0.47,0.88,138.57,8,8,0.5,396,328,68,4.3,0.5,4.7,3.1,1.7,NFC,0
2011,PIT,46.85,13.46,2.15,8.52,5.87,17.76,60.84,0.0,1.22,28.65,10.02,12.65,2.91,1.15,0.98,0.79,116.07,16.8,2.63,10.57,9.3,21.05,0.0,1.68,38.81,13.78,15.39,2.12,1.25,0.86,148.04,12,4,0.75,325,227,98,6.1,-0.8,5.3,-0.8,6.0,AFC,0
2011,SD,63.63,16.01,4.14,17.55,7.3,23.98,27.76,0.0,0.0,6.84,2.94,9.67,3.59,1.8,1.34,0.45,105.64,18.3,6.39,19.04,8.57,28.36,0.0,0.0,8.88,3.2,15.35,1.87,3.63,0.39,128.64,8,8,0.5,406,377,29,1.8,-0.9,0.9,2.7,-1.8,AFC,0
2011,SEA,47.02,7.25,5.13,11.23,5.67,20.73,33.59,0.0,0.0,5.27,8.51,6.87,1.61,0.0,1.21,0.41,88.54,8.0,7.38,17.27,9.49,21.68,0.0,0.0,8.24,10.96,7.22,0.0,1.52,0.41,108.57,7,9,0.438,321,315,6,0.4,0.4,0.8,-0.5,1.3,NFC,0
2011,SF,54.6,7.02,9.73,10.26,9.02,17.88,47.49,0.0,0.0,16.75,7.32,7.38,4.39,1.92,1.34,1.13,107.18,7.46,9.3,11.54,8.7,29.36,0.0,0.0,21.54,8.83,8.71,3.0,1.18,1.06,128.48,13,3,0.813,380,229,151,9.4,-1.1,8.3,1.7,6.6,NFC,0
2011,STL,63.31,14.62,11.64,6.34,2.67,28.21,36.21,0.0,0.0,5.43,10.17,6.06,5.27,3.56,1.34,0.38,106.74,16.48,9.68,6.37,2.86,31.29,0.0,0.0,5.7,10.23,8.32,2.84,1.12,0.47,113.68,2,14,0.125,193,407,-214,-13.4,2.9,-10.4,-8.4,-2.1,NFC,0
2011,TB,41.62,2.27,0.83,3.99,9.16,26.31,25.35,0.0,0.0,8.72,7.47,5.56,6.52,1.84,3.91,0.78,80.82,5.2,0.83,3.47,7.11,29.22,0.0,0.0,9.1,8.46,5.15,1.84,3.7,0.8,93.58,4,12,0.25,287,494,-207,-12.9,2.3,-10.6,-4.0,-6.6,NFC,0
2011,TEN,56.51,7.77,7.38,7.96,3.89,28.18,42.0,0.0,0.0,16.8,7.0,13.8,4.36,3.23,1.13,0.0,107.87,10.29,14.55,8.45,4.05,28.94,0.0,0.0,15.99,6.57,9.03,3.0,1.3,0.0,113.0,9,7,0.563,325,317,8,0.5,-1.5,-1.0,-2.2,1.2,AFC,0
2011,WAS,33.06,2.48,2.9,9.67,2.34,19.32,59.66,0.0,0.0,15.33,9.81,18.18,2.33,0.53,1.35,0.45,100.87,2.95,3.48,11.52,2.53,23.51,0.0,0.0,15.53,15.36,15.86,0.46,1.75,0.41,116.2,5,11,0.313,288,367,-79,-4.9,0.8,-4.1,-4.3,0.2,NFC,0
2012,ARI,,1.16,5.41,19.59,3.5,8.03,,1.67,15.78,11.02,7.68,11.17,,1.25,0.9,1.09,88.77,1.7,4.31,22.66,3.01,12.81,1.81,24.54,16.0,9.36,14.58,1.5,1.25,1.09,115.19,5,11,0.313,250,357,-107,-6.7,3.5,-3.2,-4.8,1.6,NFC,0
2012,ATL,,14.04,9.11,14.43,7.0,15.31,,2.56,7.63,12.82,12.13,4.25,,2.61,0.49,0.39,103.04,12.08,8.18,15.22,7.45,18.86,2.83,8.08,16.91,15.23,6.31,2.68,0.53,0.48,115.53,13,3,0.813,419,299,120,7.5,-1.1,6.4,2.0,4.5,NFC,0
