,QB_cap,RB_cap,WR_cap,TE_cap,OL_cap,ED_cap,DL_cap,LB_cap,CB_cap,S_cap,K_cap,P_cap,LS_cap,QB_avg,RB_avg,WR_avg,TE_avg,OL_avg,ED_avg,DL_avg,LB_avg,CB_avg,S_avg,K_avg,P_avg,LS_avg,W-L%,W,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
K_cap,0.02047122342417496,0.048710966590647546,0.059143179291692494,0.1789664884965232,0.04429375971051564,0.06630939294095275,0.04333321358506681,0.012342707567225664,0.037620328603306975,0.12239652044089237,1.0,0.06312929623077697,0.022177982382646986,0.0911944321711462,0.06748095601133412,0.16438469366843306,0.17171141104140736,0.05869013524809413,0.07349926374711323,0.07825059695071564,0.020097617595667715,0.0680750913299829,0.13969685079679747,0.8899966610231096,0.03769525538506897,0.027957990174167512,0.08128375100026512,0.09656775147133648,0.06013616214234792,-0.01167719876704916,0.049335667519076164,0.04936714773865129,-0.025178045752230614,0.044463119112639046,0.034543470076402454,0.03651069858840628
P_cap,0.05891349589430014,-0.002478969817311806,0.07920091839999754,0.03209370966642283,0.12107654114344095,0.035763011405683866,0.07922981045503773,-0.10781081234832818,0.08121010440211704,0.011294800860459262,0.06312929623077697,1.0,0.11852162711503866,0.04297770376106702,0.023401835590265766,0.1353229699362216,0.005460105180262572,0.12061697925667746,0.0304767133301788,0.09181827514962464,-0.06695164702232849,0.103051709283812,0.03525983486348296,0.0615276895497279,0.8829109773821436,0.13283687116253856,0.05043725142221637,0.0540209455273996,0.09067560563433606,0.0007496643091456313,0.06407545100236563,0.0647838593365834,-0.012658007372347213,0.06376117472819497,0.07778388441204488,0.015269643750441365
LS_cap,0.0065905646943308326,0.16005807037594885,0.11649451568928433,0.11902454071031583,0.15395998723629478,0.20085789260696157,0.21297336281210028,0.05931620883361187,0.1326225325732339,0.10406391798687294,0.022177982382646986,0.11852162711503866,1.0,0.09835650020623955,0.18518524465694475,0.1567436606501731,0.17564424405628237,0.20110713219237994,0.241981833080278,0.24706765195605696,0.12956884913218938,0.20134740950911822,0.13482987480711664,0.05457393854144048,0.11053048885085294,0.8524313317372982,0.03953929238477457,0.06376081569695455,0.04476185912234191,-0.0023740893007556576,0.03317267561085353,0.032322032008462134,-0.07230539983679345,0.015369004036838569,-0.022032582312335326,0.0565359171225917
QB_avg,0.7686017389967388,0.06701271505892854,0.1462310293441328,0.19516788022544404,0.26840507276365566,0.13452161641583552,0.18016755320673655,0.011242668653608066,-0.012822100853315865,0.24113589107410616,0.0911944321711462,0.04297770376106702,0.09835650020623955,1.0,0.1239462201221906,0.24031566813704325,0.20631952568064535,0.32314028098174197,0.14140815984597216,0.1945922126531832,0.055481519173295996,0.04489785943262796,0.22120846811920594,0.1618983519032929,0.06483374505576533,0.1775938195408525,0.24060022746687923,0.26353985934538143,0.3354181433941257,-0.020079334385685117,0.24986223485532807,0.2458106890776997,-0.06522148518087405,0.2366146797494663,0.2674429160276687,0.08402340265758235
RB_avg,0.003410835750023017,0.8526976807112656,-0.014246454913497776,0.07322192864851423,0.10760413396559755,0.04767857974959054,0.023391484141978284,0.08199588503681708,0.0007902501250841199,0.12798041452832487,0.06748095601133412,0.023401835590265766,0.18518524465694475,0.1239462201221906,1.0,0.07865875612983263,0.07517643971682707,0.1545754982377892,0.0784385391867967,0.05164472222260047,0.1650547308910383,0.04828260560279276,0.16458766601330999,0.04760445998647212,0.035911149759120825,0.20270993723322492,0.0816119546300477,0.0980715474638625,0.11697747746518154,-0.02739985062918953,0.09860087398034494,0.0965676310241788,-0.04744401515168686,0.08760979101225187,0.07983122085656387,0.05569972855665889
WR_avg,0.1300298895521964,0.017910027647510474,0.8052453382479337,0.2565800080057572,0.2452002955203181,0.18768655371263765,0.2892144471121058,0.09327618913486484,0.165491640600778,0.12068659295022278,0.16438469366843306,0.1353229699362216,0.1567436606501731,0.24031566813704325,0.07865875612983263,1.0,0.2782325391157825,0.3110769321453175,0.2700863924302608,0.337333397103442,0.1217109607809334,0.2569086960494817,0.13624207689724868,0.17948758150067795,0.16084435996311136,0.2304341958853286,0.16833211250831104,0.20142548019582893,0.21471669064012805,-0.028907357865831717,0.16896890111705398,0.1685064813155349,-0.0054888399219044206,0.17085672599165289,0.16448358993709503,0.0976917618270777
TE_avg,0.14880529459603906,0.0264462223936688,0.21521994117519985,0.8499154320119706,0.2740293560150193,0.18779570157181827,0.128887661759469,0.1211186066766251,0.08157392111478601,0.1796530617152499,0.17171141104140736,0.005460105180262572,0.17564424405628237,0.20631952568064535,0.07517643971682707,0.2782325391157825,1.0,0.33931521305302925,0.2828517266177365,0.18749325243779633,0.19520039427416847,0.1330652789459462,0.16987331296185776,0.20082013923833683,0.018425373198377695,0.17415531672933018,0.176982151855878,0.20707085556261726,0.17995130734468073,-0.08664207386912791,0.17668163678976567,0.17454912815379556,-0.055330556121903296,0.16532322717080064,0.12827990857303798,0.1339776331351065
OL_avg,0.2285145973603049,0.05046425523354475,0.16059411377078708,0.24939905960098194,0.8755360565225042,0.15485976890595998,0.2547913581390573,0.025570477257743692,0.13692439169441373,0.07761139799777438,0.05869013524809413,0.12061697925667746,0.20110713219237994,0.32314028098174197,0.1545754982377892,0.3110769321453175,0.33931521305302925,1.0,0.23226917496636815,0.2992143376862316,0.09743287244868293,0.2642018930268379,0.13378892487268648,0.124611598078288,0.12091020348935262,0.24764250218627615,0.1624380017419225,0.20090644944800332,0.24297100628659274,0.018394223093169716,0.1624872628200986,0.15986204011638863,-0.0311886452195305,0.15639577969433183,0.17457228502624444,0.05902639861392715
ED_avg,0.0779097535651079,0.002528668147274515,0.2125705949633326,0.20291420543718455,0.17765027647215134,0.8720166876740293,0.18582373998185528,-0.045310851199307826,0.09681897833527173,0.1457808117864703,0.07349926374711323,0.0304767133301788,0.241981833080278,0.14140815984597216,0.0784385391867967,0.2700863924302608,0.2828517266177365,0.23226917496636815,1.0,0.22697467637323532,0.02095435407697802,0.15554307488604732,0.18740009658681187,0.11097050791363841,0.07160042706623915,0.25679720918025095,0.1769848954980702,0.20173068891474494,0.16044231635103223,-0.06191911561696164,0.14891329975478604,0.14572080283082342,-0.004519145918444111,0.1485312554228386,0.09872841971318672,0.1414323582622402
DL_avg,0.09607488701899698,0.003387573393758519,0.24716026782294578,0.11991570249514058,0.2538458185404058,0.20127760975190687,0.9226403190678535,-0.23239244685892388,0.23743149795818538,0.09756194862982359,0.07825059695071564,0.09181827514962464,0.24706765195605696,0.1945922126531832,0.05164472222260047,0.337333397103442,0.18749325243779633,0.2992143376862316,0.22697467637323532,1.0,-0.17318044843169345,0.2988981522954968,0.10581049120153342,0.12515840370010248,0.12755619387484785,0.29874618370159783,0.08414449948158109,0.11453577698437131,0.11823729741086124,0.006667014000216845,0.08035487053908971,0.08096544205166513,-0.0692522370506939,0.06542588390497152,0.037397369948677234,0.07080948250964708
